input,output
"What is JSON?","JSON (JavaScript Object Notation) is a lightweight data interchange format that is easy for humans to read and write, and easy for machines to parse and generate."
"What is the `localStorage` in JavaScript?","`localStorage` is a browser feature that allows storing key-value pairs on the user's computer for local, persistent storage."
"What is a stack in programming?","A stack is a data structure that follows the Last In, First Out (LIFO) principle for adding and removing elements."
"What is a queue in programming?","A queue is a data structure that follows the First In, First Out (FIFO) principle for adding and removing elements."
"What is the difference between a stack and a queue?","A stack uses LIFO, where the last item added is the first to be removed, while a queue uses FIFO, where the first item added is the first to be removed."
"What is a linked list?","A linked list is a linear data structure where elements are stored in nodes, each containing data and a reference (or link) to the next node."
"What is an API?","An API (Application Programming Interface) is a set of rules that allows one piece of software to interact with another."
"What is the difference between a GET and POST request in HTTP?","A GET request retrieves data from a server, while a POST request sends data to a server."
"What is the `fetch()` API in JavaScript?","The `fetch()` API is used to make network requests and handle responses asynchronously in JavaScript."
"What is a CDN?","A CDN (Content Delivery Network) is a system of distributed servers that deliver web content to users based on their geographic location."
"What is SQL?","SQL (Structured Query Language) is a standard language used to manage and manipulate relational databases."
"What is a JOIN operation in SQL?","A JOIN operation is used to combine data from two or more tables based on a related column between them."
"What is normalization in databases?","Normalization is the process of organizing a database to reduce redundancy and improve data integrity."
"What is the difference between `INNER JOIN` and `LEFT JOIN` in SQL?","`INNER JOIN` returns only the rows with matching values in both tables, while `LEFT JOIN` returns all rows from the left table and the matching rows from the right table."
"What is an index in a database?","An index is a data structure that improves the speed of data retrieval operations on a database table."
"What is a foreign key in a database?","A foreign key is a column that creates a link between two tables by referencing the primary key of another table."
"What is an algorithm?","An algorithm is a step-by-step procedure or formula for solving a problem."
"What is Big O notation?","Big O notation describes the efficiency of an algorithm in terms of its time complexity or space complexity."
"What is the difference between an iterative and recursive approach?","An iterative approach uses loops to repeat code, while a recursive approach calls the same function within itself."
"What is a hash table?","A hash table is a data structure that stores data in key-value pairs, allowing for efficient lookups."
"What is the purpose of the `import` statement in JavaScript?","The `import` statement is used to bring in functions, objects, or entire modules into the current file."
"What is `NaN` in JavaScript?","`NaN` (Not-a-Number) represents a value that is not a legal number."
"What is a callback function in JavaScript?","A callback function is a function that is passed as an argument to another function and executed after the parent function finishes."
"What is `event bubbling` in JavaScript?","Event bubbling is the process where an event starts at the most specific element and bubbles up to the outer elements."
"What is a session in web development?","A session is a mechanism to store data about the user's interaction with a web application across multiple requests."
"What is the difference between `undefined` and `NaN` in JavaScript?","`undefined` is the value given to uninitialized variables, while `NaN` represents an invalid number operation."
"What is a synchronous function?","A synchronous function executes its operations in sequence, one after another."
"What is the use of the `typeof` operator in JavaScript?","The `typeof` operator returns the data type of a given variable or expression."
"What is a promise chain in JavaScript?","A promise chain is a series of promises that execute sequentially, with each promise handling the resolution of the previous one."
"What is HTML?","HTML (HyperText Markup Language) is the standard markup language used to create web pages."
"What is CSS?","CSS (Cascading Style Sheets) is used to style and layout web pages, such as changing fonts, colors, and spacing."
"What is the difference between block-level and inline elements in HTML?","Block-level elements take up the full width available, while inline elements only take up as much width as their content."
"What is the `box-model` in CSS?","The CSS box model describes the rectangular boxes generated for elements, including padding, borders, and margins."
"What is the purpose of the `z-index` in CSS?","`z-index` controls the stacking order of elements, determining which elements appear in front or behind others."
"What is the `display` property in CSS?","The `display` property defines how an element is displayed, such as `block`, `inline`, or `flex`."
"What is the purpose of `position: absolute;` in CSS?","`position: absolute;` positions an element relative to its closest positioned ancestor, ignoring normal document flow."
"What is Flexbox in CSS?","Flexbox is a CSS layout module that allows items to be aligned and distributed in a container, with flexible resizing."
"What is Grid layout in CSS?","CSS Grid layout allows for creating complex two-dimensional layouts by placing elements into rows and columns."
"What is the difference between `inline` and `block` elements in HTML?","Inline elements only take up as much space as necessary, while block elements take up the entire width available."
"What is a media query in CSS?","A media query allows you to apply different styles depending on the device’s screen size or other characteristics."
"What is the difference between `visibility: hidden;` and `display: none;` in CSS?","`visibility: hidden;` hides an element but still takes up space, while `display: none;` removes the element entirely from the layout."
"How do you apply a background image in CSS?","You can apply a background image in CSS using the `background-image` property followed by the URL of the image."
"What is a form in HTML?","A form is used to collect user input through various types of form controls, like text fields and buttons."
"What is the `placeholder` attribute in HTML?","The `placeholder` attribute specifies a short hint that describes the expected value of an input field."
"How do you create a link in HTML?","You can create a link in HTML using the `<a>` tag with the `href` attribute to specify the URL."
"How do you make an element responsive in CSS?","You can make an element responsive using techniques like relative units (`%`, `vw`, `vh`) and media queries."
